ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Medium,,,
medium,medium,22018.41744,high,368.5164413,564.3086542,10.37978308,86.99097046,medium,0,medium,,,
low,low,17978.98634,medium,333.7757766,592.8853591,15.18001312,56.32907628,high,0,low,,,
high,medium,28748.68774,high,333.7757766,418.6062131,16.86863693,66.42009251,medium,0,medium,,,
high,medium,28749.71654,high,356.8861356,363.2665162,18.4365245,100.3416744,high,0,medium,,,
high,low,13672.09176,medium,310.1357375,398.4108134,11.55827944,31.99799273,high,0,low,,,
medium,low,25484.50849,high,326.6783629,280.4679159,8.39973464,54.91786184,medium,0,medium,,,
high,medium,32452.61441,high,393.6633955,283.6516335,13.78969532,84.60355617,medium,0,medium,,,
high,medium,18730.81365,medium,303.3097712,474.6076449,12.3638167,62.79830896,high,0,low,,,
medium,low,41065.23476,high,268.6469407,389.3755659,12.70604897,53.92884577,medium,0,high,,,
high,medium,24041.32628,high,404.0416347,563.8854815,17.92780641,71.97660103,high,0,medium,,,
medium,low,25630.32004,high,326.6243535,425.3834195,15.58681044,78.74001566,medium,0,medium,,,
medium,medium,30944.36359,high,333.7757766,364.0982305,14.5257457,76.48591118,high,0,medium,,56488.67241,56488.67241
medium,low,17266.59342,low,282.3440505,347.7150273,15.92953591,79.50077834,medium,0,low,,320.9426113,
medium,low,21218.70287,medium,299.4157813,379.7618348,19.37080718,76.50999553,high,0,medium,,,
medium,medium,33424.76868,medium,333.7757766,444.6453523,13.2283111,70.30021265,high,0,medium,,,
medium,low,15196.22999,high,364.4876872,516.7432819,11.53978119,75.07161729,high,0,low,,56167.7298,18722.5766
medium,medium,22326.89205,high,333.7757766,315.1412672,20.39702184,56.65160379,high,0,medium,,,
high,high,32555.85254,medium,398.3505168,477.9746419,13.38734078,71.45736221,high,0,medium,,,19043.51921
high,high,19620.54533,medium,333.7757766,431.44399,12.88875905,63.8212371,medium,0,medium,,,37766.09581
medium,medium,24752.07246,medium,335.7544386,469.9145515,12.50916394,62.79727715,medium,0,medium,,,56488.67241
medium,medium,24683.72357,high,333.7757766,554.8200865,16.33169328,45.38281518,high,0,medium,,,
medium,low,16658.8765,medium,310.9308583,523.6712975,17.88423519,77.04231805,medium,0,low,,,
medium,medium,28780.34043,medium,326.9439777,436.256194,14.18906221,59.85547583,high,0,medium,,,
low,low,9973.934059,medium,333.7757766,444.4788825,16.60903316,90.18167588,high,0,low,,,
medium,low,10575.18628,high,328.3582407,472.8740733,11.25638117,56.93190645,high,0,low,,,
medium,low,15758.74062,high,323.596349,413.2904501,14.89999957,79.84784281,high,0,low,,,
low,medium,21536.22469,high,384.0070058,441.7858757,13.80590221,30.2845972,high,0,medium,,,
medium,low,12013.55063,high,304.0019928,298.9906665,12.72952472,49.5368488,high,0,low,,,
medium,high,19871.78845,high,395.3894903,364.4801067,10.34895076,53.00838135,medium,0,medium,,,
medium,low,11920.61084,high,307.0117926,563.8047433,16.56865557,52.67618503,high,0,low,,,
medium,medium,21783.65103,medium,338.3364311,342.1112863,7.922598333,71.53795326,high,0,medium,,,
high,low,28779.65001,medium,333.7757766,452.8362349,16.8990378,47.08197119,medium,0,medium,,,
high,low,24323.8659,high,307.7075086,412.9868338,12.89070856,65.73347839,high,0,medium,,,
medium,medium,32144.79993,medium,387.1753165,411.9833642,10.24481507,44.48929725,medium,0,medium,,,
medium,medium,20965.47831,medium,333.7757766,383.981723,12.16693715,86.08072748,high,0,medium,,,
medium,low,34873.93452,medium,323.8363839,441.7483793,10.96648615,49.23823132,medium,0,medium,,,
low,low,24964.7777,medium,286.059556,456.8600959,9.034066753,73.59465676,medium,0,medium,,,
medium,high,6743.346066,medium,333.7757766,399.4715663,12.26500158,81.58899246,medium,0,low,,,
