customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,3.0,France,Female,2.0,2,0.0,1,1,1,3.0,1
15647311,3.0,Spain,Female,2.0,1,2.0,1,0,1,3.0,0
15619304,2.0,France,Female,2.0,8,3.0,3,1,0,3.0,1
15701354,3.0,France,Female,1.0,1,0.0,2,0,0,2.0,0
15737888,5.0,Spain,Female,2.0,2,3.0,1,1,1,2.0,0
15574012,3.0,Spain,Male,2.0,8,2.0,2,1,0,4.0,1
15592531,5.0,France,Male,2.0,7,0.0,2,1,1,0.0,0
15656148,0.0,Germany,Female,1.0,4,2.0,4,1,0,3.0,1
15792365,2.0,France,Male,2.0,4,3.0,2,0,1,2.0,0
15592389,3.0,France,Male,1.0,2,3.0,1,1,1,2.0,0
15767821,2.0,France,Male,1.0,6,2.0,2,0,0,2.0,0
15737173,1.0,Spain,Male,0.0,3,0.0,2,1,0,2.0,0
15632264,1.0,France,Female,1.0,10,0.0,2,1,0,1.0,0
15691483,2.0,France,Female,0.0,5,0.0,2,0,0,5.0,0
15600882,3.0,Spain,Female,1.0,7,0.0,2,1,1,2.0,0
15643966,3.0,Germany,Male,2.0,3,3.0,2,0,1,2.0,0
15737452,3.0,Germany,Male,3.0,1,3.0,1,1,0,0.0,1
15788218,2.0,Spain,Female,0.0,9,0.0,2,1,1,0.0,0
15661507,2.0,Spain,Male,2.0,6,0.0,1,0,0,4.0,0
15568982,4.0,France,Female,0.0,6,0.0,2,1,1,1.0,0
15577657,4.0,France,Male,2.0,8,0.0,2,1,1,4.0,0
15597945,3.0,Spain,Female,1.0,8,0.0,2,1,0,3.0,0
15699309,2.0,Spain,Female,1.0,4,0.0,1,1,0,3.0,1
15725737,3.0,France,Male,2.0,3,0.0,2,0,1,0.0,0
15625047,5.0,France,Female,1.0,5,0.0,1,1,1,5.0,0
15738191,2.0,France,Male,0.0,3,0.0,2,0,1,3.0,0
15736816,4.0,Germany,Male,1.0,2,3.0,1,1,1,4.0,0
15700772,2.0,France,Male,2.0,9,0.0,2,0,0,1.0,0
15728693,2.0,Germany,Female,2.0,3,3.0,1,1,1,3.0,0
15656300,1.0,France,Male,1.0,0,1.0,2,1,1,1.0,0
15589475,2.0,Spain,Female,1.0,3,0.0,3,1,0,4.0,1
15706552,2.0,France,Male,1.0,7,2.0,1,0,1,4.0,0
15750181,2.0,Germany,Male,2.0,9,2.0,2,0,0,2.0,0
15659428,2.0,Spain,Female,2.0,6,0.0,2,1,1,1.0,0
15732963,4.0,Spain,Female,1.0,9,0.0,2,1,1,4.0,0
15794171,1.0,France,Female,2.0,0,3.0,1,1,0,1.0,1
15788448,1.0,Spain,Male,1.0,3,3.0,1,0,1,3.0,0
15729599,5.0,Spain,Male,1.0,7,2.0,1,0,1,2.0,0
15717426,5.0,France,Male,1.0,7,0.0,1,1,1,1.0,0
15585768,2.0,Germany,Male,2.0,6,1.0,2,0,1,4.0,0
15619360,1.0,Spain,Male,1.0,4,0.0,1,1,0,2.0,0
15738148,1.0,France,Female,2.0,8,2.0,1,0,0,5.0,1
15687946,2.0,France,Female,3.0,2,2.0,1,1,1,2.0,0
15755196,5.0,France,Female,2.0,2,3.0,1,0,0,5.0,1
15684171,3.0,Spain,Female,3.0,5,3.0,1,1,1,4.0,0
15754849,4.0,Germany,Female,1.0,4,2.0,2,1,1,3.0,0
15602280,5.0,Germany,Female,1.0,9,2.0,1,1,1,3.0,1
15771573,3.0,Germany,Female,1.0,9,3.0,1,1,1,3.0,1
15766205,2.0,Germany,Male,1.0,2,2.0,1,0,1,2.0,0
15771873,4.0,Germany,Female,1.0,2,2.0,2,1,0,5.0,0
15616550,3.0,Germany,Male,2.0,10,2.0,2,1,0,5.0,0
15768193,2.0,Germany,Male,1.0,5,3.0,2,0,0,2.0,0
15683553,4.0,France,Female,1.0,5,0.0,2,0,0,3.0,0
15702298,3.0,Germany,Male,2.0,8,3.0,1,0,0,4.0,1
15569590,3.0,Germany,Male,2.0,1,2.0,1,1,0,1.0,1
15760861,3.0,France,Male,2.0,1,2.0,1,1,1,3.0,0
15630053,3.0,France,Male,2.0,5,3.0,1,1,0,2.0,0
15647091,4.0,Germany,Male,0.0,0,2.0,1,0,0,1.0,0
15623944,2.0,Spain,Female,3.0,4,0.0,1,1,0,0.0,1
15804771,3.0,France,Male,2.0,4,1.0,1,1,1,1.0,0
15651280,4.0,Germany,Male,1.0,5,3.0,1,0,0,2.0,0
15773469,3.0,Germany,Female,1.0,9,3.0,2,0,0,3.0,0
15702014,2.0,Spain,Male,1.0,1,1.0,2,0,0,4.0,0
15751208,3.0,Spain,Male,3.0,8,2.0,1,1,1,2.0,0
15592461,3.0,Germany,Male,1.0,4,2.0,1,1,1,2.0,0
15789484,4.0,Germany,Female,1.0,6,3.0,2,1,1,1.0,0
15696061,2.0,Germany,Female,1.0,1,2.0,1,1,0,3.0,0
15641582,4.0,Germany,Male,2.0,10,2.0,2,1,1,5.0,0
15638424,3.0,Germany,Female,1.0,5,3.0,2,0,1,3.0,0
15755648,3.0,France,Female,0.0,8,2.0,1,1,0,0.0,0
15703793,4.0,Germany,Male,3.0,2,3.0,4,1,0,1.0,1
15620344,5.0,France,Male,1.0,6,0.0,1,1,0,1.0,0
15812518,3.0,Spain,Female,1.0,0,3.0,1,0,1,1.0,0
15779052,3.0,Germany,Female,0.0,5,3.0,2,1,1,1.0,0
15770811,2.0,France,Male,1.0,9,0.0,2,0,1,4.0,0
15780961,4.0,France,Female,0.0,1,4.0,2,1,0,1.0,0
15614049,3.0,France,Male,2.0,8,0.0,2,1,1,3.0,0
15662085,3.0,France,Female,1.0,9,0.0,1,1,1,4.0,0
15575185,4.0,Spain,Male,1.0,5,2.0,1,0,1,5.0,0
15803136,1.0,Germany,Female,2.0,10,2.0,2,1,0,2.0,0
15706021,3.0,France,Female,1.0,1,2.0,2,0,0,4.0,0
15663706,4.0,France,Female,1.0,2,0.0,1,1,0,3.0,1
15641732,2.0,France,Female,1.0,3,0.0,2,0,0,1.0,0
15701164,2.0,France,Female,1.0,4,2.0,1,1,1,4.0,0
15738751,1.0,France,Female,2.0,4,0.0,2,1,0,0.0,0
15805254,3.0,Spain,Female,4.0,10,0.0,2,1,1,3.0,0
15762418,4.0,Spain,Male,0.0,3,2.0,1,1,0,3.0,1
15625759,4.0,France,Male,1.0,9,0.0,2,1,0,4.0,0
15622897,3.0,France,Female,2.0,4,0.0,3,1,0,2.0,1
15767954,3.0,Germany,Female,1.0,3,2.0,2,1,1,4.0,0
15757535,3.0,Spain,Female,2.0,5,0.0,3,1,1,4.0,1
15731511,5.0,France,Male,2.0,7,2.0,2,1,0,4.0,0
15809248,2.0,France,Female,1.0,10,0.0,2,1,0,3.0,0
15640635,4.0,France,Male,1.0,8,0.0,2,1,1,4.0,0
15676966,4.0,Spain,Male,2.0,4,0.0,2,0,1,2.0,0
15699461,2.0,Spain,Male,1.0,10,4.0,1,0,1,3.0,0
15738721,4.0,Spain,Male,2.0,9,2.0,1,0,1,2.0,0
15693683,5.0,Germany,Male,1.0,8,2.0,2,1,1,5.0,0
15604348,4.0,Spain,Male,0.0,8,0.0,2,0,0,2.0,0
15633059,1.0,France,Male,1.0,9,0.0,2,0,0,0.0,0
15808582,3.0,France,Female,1.0,6,0.0,1,1,1,4.0,0
15743192,3.0,France,Female,2.0,6,0.0,2,0,0,4.0,0
15580146,4.0,France,Male,1.0,9,2.0,1,1,0,1.0,0
15776605,2.0,Spain,Male,1.0,7,0.0,2,1,0,2.0,0
15804919,3.0,Spain,Female,3.0,1,0.0,1,1,1,4.0,1
