ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
low,medium,medium,medium,high,high,low,high,low,0
low,low,low,medium,low,high,medium,medium,medium,0
medium,medium,low,high,low,medium,medium,medium,low,0
medium,medium,medium,medium,medium,low,medium,high,medium,0
medium,medium,low,medium,medium,medium,medium,low,medium,0
medium,medium,medium,medium,medium,low,low,medium,low,0
high,high,medium,medium,high,low,medium,high,low,0
medium,medium,low,low,medium,medium,medium,medium,medium,0
low,low,low,medium,medium,medium,medium,medium,medium,0
high,medium,medium,high,high,high,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,low,medium,low,low,medium,medium,medium,0
medium,medium,low,low,medium,low,medium,medium,medium,0
low,medium,medium,medium,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,low,medium,medium,medium,medium,0
medium,medium,high,high,high,medium,medium,medium,medium,0
medium,medium,medium,high,low,low,high,medium,medium,0
medium,high,medium,medium,high,medium,medium,medium,medium,0
medium,high,low,medium,low,medium,medium,medium,low,0
medium,medium,medium,low,medium,medium,medium,medium,low,0
low,medium,medium,high,low,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,medium,0
low,medium,low,medium,medium,medium,medium,medium,high,0
low,medium,medium,medium,low,medium,medium,high,medium,0
medium,medium,low,high,medium,medium,medium,medium,medium,0
medium,medium,medium,medium,medium,medium,medium,medium,high,0
low,medium,medium,medium,high,medium,medium,low,medium,0
low,medium,low,medium,medium,low,medium,medium,medium,0
low,high,medium,medium,high,low,low,medium,medium,0
low,medium,low,high,medium,high,medium,medium,high,0
medium,medium,low,medium,medium,low,low,medium,high,0
high,medium,low,medium,low,medium,medium,medium,low,0
high,low,medium,medium,medium,medium,medium,medium,high,0
medium,high,medium,medium,high,medium,low,medium,low,0
low,high,low,medium,low,medium,medium,high,high,0
medium,medium,low,medium,medium,medium,medium,medium,medium,0
