Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,2,3,2,53,17,1,8,4,3.1,2,2,2,2,14,6,4
2,19,2,24,2,64,19,1,13,4,3.1,2,2,2,2,2,2,4
3,50,2,12,2,73,21,3,13,2,3.1,2,3,2,2,23,3,7
4,21,2,15,3,90,39,2,13,2,3.5,2,4,2,2,49,5,7
5,45,2,3,2,49,37,2,22,2,2.7,2,3,2,2,31,5,1
6,46,2,21,3,20,50,2,24,3,2.9,2,5,2,2,14,6,7
7,63,2,17,2,85,26,2,8,1,3.2,2,3,2,2,49,2,6
8,27,2,19,2,34,18,1,5,4,3.2,2,3,2,2,19,3,7
9,26,2,5,4,97,48,1,20,3,2.6,2,2,2,2,8,6,1
10,57,2,8,1,31,25,2,17,2,4.8,2,1,2,2,4,2,6
11,53,2,18,3,34,4,1,18,1,4.1,2,6,2,2,26,1,2
12,30,2,19,2,68,11,3,14,4,4.9,2,6,2,2,10,1,4
13,61,2,5,4,72,8,2,7,4,4.5,2,2,2,2,37,6,4
14,65,2,6,2,51,29,2,23,2,4.7,2,2,2,2,31,5,7
15,64,2,5,4,53,32,1,21,4,4.7,2,3,2,2,34,4,7
16,64,2,20,2,81,39,2,21,4,2.8,2,6,2,2,8,5,5
17,25,2,23,1,36,1,3,8,2,4.1,2,4,2,2,44,4,2
18,53,2,6,2,38,24,4,11,4,4.7,2,1,2,2,36,6,6
19,52,2,24,2,48,26,3,2,3,4.6,2,3,2,2,17,2,7
20,66,2,14,2,90,39,2,9,3,3.3,2,5,2,2,46,4,2
21,21,2,14,2,51,18,2,2,4,2.8,2,2,2,2,50,2,3
22,31,2,14,2,62,33,2,5,4,4.1,2,6,2,2,22,4,6
23,56,2,14,2,37,5,2,16,3,3.2,2,6,2,2,32,4,1
24,31,2,14,2,88,36,4,24,4,4.4,2,2,2,2,40,3,7
25,18,2,11,4,22,9,2,9,1,2.9,2,6,2,2,16,4,7
26,18,2,10,2,25,43,2,20,3,3.6,2,2,2,2,14,5,1
27,38,2,13,1,20,28,2,19,2,3.6,2,4,2,2,13,3,1
28,56,2,19,2,56,17,1,6,3,5.0,2,4,2,2,7,1,3
29,54,2,8,1,94,33,2,8,1,4.4,2,3,2,2,41,5,3
30,31,2,6,2,48,50,3,2,1,4.1,2,6,2,2,14,3,7
31,57,2,13,1,31,33,1,2,4,4.7,2,5,2,2,16,3,5
32,33,2,6,2,79,48,1,4,4,4.7,2,6,2,2,45,6,5
33,36,2,11,4,67,16,2,20,3,4.9,2,3,2,2,37,6,1
34,54,2,14,2,38,6,1,9,3,3.3,2,6,2,2,45,2,6
35,36,2,25,2,91,34,1,23,2,4.6,2,1,2,2,38,5,6
36,54,2,3,2,33,21,2,6,3,4.0,2,1,2,2,48,3,2
37,35,2,25,2,69,13,2,13,4,4.6,2,3,2,2,44,5,4
38,35,2,12,2,45,14,3,6,3,2.8,2,6,2,2,10,5,7
39,29,2,6,2,37,9,2,19,4,3.7,2,1,2,2,44,6,3
40,70,2,14,2,60,3,3,22,3,4.2,2,2,2,2,18,3,5
41,69,2,8,1,76,18,1,1,4,4.6,2,4,2,2,31,4,6
42,67,2,16,1,39,2,2,15,2,4.5,2,5,2,2,40,6,1
43,20,2,5,4,100,42,2,1,2,4.1,2,3,2,2,15,5,1
44,25,2,16,1,69,35,1,11,1,3.7,2,6,2,2,19,5,4
45,39,2,9,1,53,17,3,20,3,4.6,2,3,2,2,45,5,7
46,50,2,22,2,21,42,4,10,1,2.9,2,1,2,2,25,5,1
47,57,2,17,2,43,5,1,24,3,2.9,2,6,2,2,45,2,6
48,55,2,13,1,54,26,2,5,4,4.5,2,3,2,2,36,2,7
49,42,2,17,2,55,28,2,15,3,2.7,2,6,2,2,38,2,5
50,68,2,10,2,30,30,3,10,2,4.6,2,4,2,2,34,4,2
51,49,2,3,2,28,20,2,19,2,3.7,2,6,2,2,39,4,2
52,59,2,20,2,59,45,4,8,4,4.7,2,1,2,2,7,3,6
53,42,2,25,2,20,2,2,9,3,2.6,2,3,2,2,26,3,7
54,29,2,20,2,24,24,3,16,4,3.9,2,4,2,2,35,3,7
55,47,2,5,4,94,31,2,4,3,4.2,2,4,2,2,35,4,2
56,40,2,11,4,28,40,2,11,4,3.0,2,1,2,2,49,3,1
57,41,2,1,1,73,24,4,4,3,4.7,2,6,2,2,46,3,7
58,21,2,5,4,64,48,2,24,3,4.4,2,6,2,2,17,4,4
59,69,2,10,2,54,25,2,5,3,4.2,2,3,2,2,29,6,5
60,63,2,2,1,79,18,1,25,2,4.6,2,5,2,2,4,4,7
61,50,2,24,2,37,12,1,4,3,4.0,2,2,2,2,17,2,7
62,55,2,16,1,68,43,2,15,4,4.7,2,6,2,2,21,3,3
63,30,2,21,3,21,24,3,12,2,3.8,2,3,2,2,31,3,4
64,33,2,23,1,79,3,1,11,4,2.7,2,1,2,2,43,3,7
65,65,2,4,3,83,1,3,9,1,4.8,2,5,2,2,18,4,4
66,65,2,1,1,36,30,2,18,2,4.8,2,1,2,2,44,6,3
67,31,2,3,2,94,38,3,12,4,4.7,2,1,2,2,3,6,3
68,45,2,5,4,33,7,1,8,4,4.4,2,6,2,2,49,4,5
69,57,2,8,1,46,44,1,20,3,3.9,2,4,2,2,21,2,3
70,48,2,2,1,70,42,3,6,3,4.4,2,2,2,2,5,2,7
71,22,2,2,1,29,1,2,12,1,4.2,2,2,2,2,32,4,3
72,36,2,6,2,48,46,1,7,3,2.9,2,2,2,2,34,1,1
73,18,2,6,2,26,10,2,14,4,2.9,2,6,2,2,21,1,3
74,48,2,14,2,85,11,2,21,2,2.7,2,3,2,2,43,1,2
75,49,2,7,1,58,14,1,23,2,4.5,2,2,2,2,3,2,5
76,64,2,16,1,85,44,2,3,3,2.7,2,3,2,2,21,3,1
77,50,2,9,1,43,8,3,21,3,4.2,2,3,2,2,32,6,5
78,22,2,6,2,53,8,1,7,3,3.3,2,4,2,2,36,4,4
79,50,2,20,2,91,27,2,13,2,4.7,2,3,2,2,50,6,4
80,38,2,11,4,96,15,2,14,4,2.6,2,1,2,2,43,1,3
81,19,2,15,3,72,32,4,3,3,3.3,2,6,2,2,24,3,3
82,67,2,18,3,96,46,1,13,3,2.6,2,2,2,2,36,3,3
83,19,2,14,2,28,10,3,14,2,4.0,2,1,2,2,21,3,3
84,36,2,6,2,40,43,2,22,3,4.1,2,5,2,2,34,1,7
85,52,2,5,4,32,3,3,16,2,4.4,2,5,2,2,42,1,3
86,53,2,23,1,95,31,2,5,4,4.5,2,4,2,2,2,4,2
87,24,2,10,2,41,28,1,17,2,3.7,2,1,2,2,47,2,2
88,52,2,18,3,53,35,2,9,1,3.7,2,1,2,2,44,4,4
89,33,2,25,2,47,50,2,15,1,3.5,2,3,2,2,35,3,5
90,47,2,11,4,83,5,4,17,1,3.6,2,4,2,2,15,2,6
91,25,2,9,1,48,40,1,23,3,2.9,2,2,2,2,29,3,5
92,44,2,16,1,99,40,3,9,4,4.6,2,5,2,2,18,3,3
93,61,2,11,4,87,43,2,14,4,4.4,2,1,2,2,13,6,3
94,37,2,24,2,62,9,2,18,1,4.5,2,5,2,2,46,3,7
95,58,2,20,2,76,28,3,20,2,4.6,2,3,2,2,28,3,7
96,37,2,21,3,100,25,1,17,1,3.8,2,3,2,2,48,5,5
97,32,2,7,1,73,8,3,7,2,3.6,2,2,2,2,43,6,3
98,21,2,18,3,92,46,2,21,4,4.8,2,6,2,2,37,2,1
99,20,2,12,2,67,32,4,21,2,2.6,2,4,2,2,20,1,1
100,26,2,10,2,40,25,4,10,3,3.7,2,2,2,2,33,4,6
101,62,2,23,1,98,41,2,13,1,2.7,2,2,2,2,31,2,4
102,27,2,5,4,85,34,4,24,2,4.6,2,2,2,2,50,3,2
103,51,2,22,2,67,36,1,23,4,4.8,2,4,2,2,35,3,6
104,54,2,4,3,89,48,1,19,4,4.0,2,4,2,2,22,6,2
105,55,2,23,1,24,29,1,17,2,4.4,2,1,2,2,1,5,5
106,69,2,1,1,96,32,2,5,1,3.6,2,4,2,2,4,1,1
107,64,2,11,4,35,23,1,24,3,3.7,2,5,2,2,31,3,5
108,28,2,21,3,67,20,1,14,4,3.1,2,4,2,2,46,5,4
109,70,2,22,2,79,26,1,18,2,3.4,2,4,2,2,32,1,2
110,58,2,25,2,85,1,2,23,2,2.6,2,4,2,2,43,1,4
111,56,2,1,1,26,32,2,2,3,4.0,2,5,2,2,26,6,4
112,26,2,2,1,75,21,1,18,3,5.0,2,3,2,2,9,3,1
113,37,2,7,1,65,9,2,19,2,4.3,2,3,2,2,28,5,2
114,44,2,9,1,54,30,1,13,4,3.1,2,4,2,2,20,5,6
115,70,2,5,4,95,21,3,3,3,3.7,2,6,2,2,9,2,7
116,53,2,20,2,94,50,2,8,2,3.8,2,5,2,2,48,4,3
117,55,2,18,3,86,46,3,3,2,3.4,2,3,2,2,12,6,1
118,50,2,15,3,32,41,1,25,3,4.6,2,2,2,2,29,2,4
119,50,2,24,2,45,17,1,15,1,4.8,2,1,2,2,27,2,2
120,38,2,5,4,76,50,2,15,1,4.3,2,2,2,2,44,2,1
121,64,2,9,1,84,48,1,19,3,4.0,2,2,2,2,32,1,1
122,19,2,19,2,72,46,2,14,4,4.2,2,5,2,2,11,2,4
123,40,2,1,1,40,47,1,4,2,4.8,2,1,2,2,44,2,4
124,57,2,24,2,89,18,1,4,1,3.1,2,3,2,2,46,2,7
125,44,2,24,2,86,28,2,8,2,3.1,2,4,2,2,50,5,1
126,49,2,19,2,54,5,2,10,4,3.6,2,4,2,2,45,6,3
127,43,2,19,2,36,24,1,17,2,3.9,2,6,2,2,48,2,3
128,24,2,24,2,89,24,2,8,4,4.8,2,4,2,2,26,3,7
129,20,2,16,1,32,5,2,7,2,4.7,2,5,2,2,21,3,4
130,24,2,6,2,67,38,4,14,3,4.2,2,1,2,2,49,5,2
131,44,2,16,1,39,17,1,23,1,3.7,2,4,2,2,13,5,4
132,28,2,20,2,29,19,1,10,3,3.9,2,5,2,2,46,3,7
133,30,2,1,1,58,31,2,15,1,4.7,2,1,2,2,42,5,7
134,52,2,24,2,65,26,2,23,4,2.5,2,4,2,2,25,6,1
135,43,2,9,1,94,43,1,8,1,4.9,2,6,2,2,25,2,5
136,43,2,15,3,81,16,2,18,1,4.1,2,2,2,2,12,5,6
137,39,2,3,2,86,40,2,24,4,3.3,2,3,2,2,4,4,6
138,68,2,21,3,43,6,2,22,2,4.7,2,3,2,2,38,5,7
139,68,2,20,2,29,10,2,13,4,4.4,2,6,2,2,42,1,7
140,49,2,5,4,95,9,2,24,1,3.8,2,6,2,2,30,6,1
141,63,2,17,2,28,33,1,25,1,3.9,2,1,2,2,50,3,7
142,56,2,7,1,46,46,2,22,1,4.9,2,3,2,2,45,5,7
143,37,2,11,4,58,27,1,23,1,3.1,2,3,2,2,33,3,4
144,30,2,5,4,48,25,2,1,1,2.7,2,6,2,2,25,5,6
145,19,2,18,3,43,30,2,20,1,3.2,2,2,2,2,25,2,5
146,24,2,13,1,95,25,2,21,1,4.5,2,5,2,2,44,4,6
147,52,2,20,2,30,6,3,2,1,4.0,2,5,2,2,21,6,4
148,63,2,18,3,64,12,2,18,3,3.5,2,1,2,2,31,1,4
149,37,2,7,1,90,50,2,8,1,2.6,2,6,2,2,47,4,1
150,38,2,14,2,76,8,2,24,3,3.2,2,3,2,2,14,5,5
151,35,2,4,3,96,5,1,6,1,4.9,2,5,2,2,17,4,3
152,28,2,23,1,47,34,1,22,1,4.5,2,4,2,2,3,6,1
153,30,2,17,2,85,40,3,4,3,4.3,2,2,2,2,42,6,1
154,69,2,10,2,55,33,2,13,4,3.2,2,5,2,2,22,4,1
155,41,2,6,2,98,36,2,5,1,3.6,2,4,2,2,21,6,6
156,63,2,22,2,77,19,3,14,2,4.3,2,3,2,2,21,1,6
157,35,2,19,2,26,25,2,11,1,4.0,2,5,2,2,40,4,1
158,36,2,9,1,68,45,3,25,1,3.0,2,4,2,2,1,1,4
159,25,2,17,2,73,7,4,21,1,4.1,2,5,2,2,50,1,5
160,58,2,7,1,27,29,2,5,1,3.8,2,6,2,2,39,1,3
161,27,2,7,1,23,43,2,15,3,4.6,2,3,2,2,34,6,5
162,65,2,1,1,49,34,2,14,1,3.0,2,2,2,2,29,6,4
163,54,2,23,1,74,5,2,22,3,3.0,2,6,2,2,31,5,2
164,54,2,20,2,67,46,2,18,3,3.4,2,5,2,2,8,4,7
165,59,2,8,1,65,8,3,18,2,2.6,2,3,2,2,5,3,4
166,42,2,8,1,60,17,3,25,4,2.8,2,6,2,2,7,2,5
167,46,2,21,3,31,8,4,10,1,4.0,2,6,2,2,30,2,5
168,33,2,7,1,27,4,2,9,1,4.0,2,2,2,2,14,3,3
169,34,2,18,3,80,18,2,12,3,3.0,2,2,2,2,5,2,4
170,27,2,11,4,30,28,3,7,3,3.3,2,5,2,2,3,5,3
171,52,2,17,2,25,50,2,13,1,2.6,2,6,2,2,46,6,2
172,29,2,19,2,35,46,2,3,3,3.6,2,6,2,2,4,3,7
173,54,2,13,1,67,27,2,23,3,3.9,2,4,2,2,42,3,2
174,25,2,9,1,46,11,2,22,1,3.4,2,5,2,2,30,2,1
175,41,2,18,3,35,45,1,4,4,3.5,2,2,2,2,37,6,1
176,53,2,5,4,86,36,1,23,1,2.8,2,4,2,2,2,1,1
177,53,2,1,1,81,29,1,2,2,2.7,2,4,2,2,30,3,6
178,21,2,10,2,42,16,1,12,1,3.7,2,4,2,2,47,1,5
179,61,2,20,2,43,12,1,11,1,4.3,2,1,2,2,21,5,6
180,64,2,4,3,31,13,2,23,1,4.9,2,6,2,2,9,1,4
181,51,2,15,3,81,41,1,9,1,3.3,2,6,2,2,12,4,4
182,32,2,14,2,61,21,2,1,3,4.7,2,4,2,2,4,1,7
183,38,2,7,1,96,1,4,18,3,2.8,2,6,2,2,10,4,1
184,58,2,20,2,29,35,4,1,2,3.6,2,1,2,2,26,3,7
185,32,2,21,3,33,11,1,6,2,3.0,2,2,2,2,40,2,4
186,46,2,25,2,32,49,4,20,3,4.5,2,6,2,2,34,1,4
187,39,2,1,1,56,23,3,11,3,2.9,2,5,2,2,31,4,1
188,19,2,18,3,94,10,3,18,2,3.3,2,6,2,2,1,1,2
189,50,2,10,2,53,4,2,17,2,3.1,2,2,2,2,5,1,2
190,36,2,3,2,82,48,2,13,1,4.4,2,4,2,2,4,3,7
191,65,2,5,4,70,14,4,1,1,3.0,2,3,2,2,48,6,6
192,64,2,9,1,76,44,2,8,1,3.9,2,3,2,2,29,2,3
193,46,2,18,3,29,27,1,22,3,2.9,2,2,2,2,12,5,2
194,36,2,2,1,100,34,3,20,1,3.0,2,5,2,2,29,6,1
195,51,2,1,1,94,25,2,14,2,3.1,2,2,2,2,15,4,6
196,51,2,11,4,25,32,2,12,1,4.3,2,3,2,2,34,3,5
197,38,2,4,3,88,47,2,11,3,3.9,2,4,2,2,41,3,4
198,59,2,16,1,78,40,2,2,1,3.2,2,1,2,2,41,3,5
199,57,2,13,1,45,44,2,22,4,4.8,2,5,2,2,39,3,4
200,54,2,9,1,73,12,4,9,3,3.8,2,2,2,2,32,2,7
201,25,2,6,2,61,38,3,21,3,3.3,2,4,2,2,29,6,5
202,69,2,3,2,22,25,3,1,1,4.3,2,3,2,2,15,1,1
203,57,2,9,1,38,27,1,12,2,2.7,2,2,2,2,33,6,1
204,70,2,16,1,38,14,3,25,1,3.2,2,4,2,2,18,1,7
205,24,2,21,3,100,3,2,25,1,4.0,2,6,2,2,35,2,2
206,67,2,17,2,64,11,2,20,4,3.0,2,5,2,2,25,5,7
207,24,2,25,2,55,49,1,20,3,4.2,2,3,2,2,6,6,4
208,62,2,7,1,91,39,2,20,3,2.9,2,2,2,2,17,1,2
209,57,2,20,2,38,49,2,7,2,4.1,2,6,2,2,17,3,5
210,55,2,15,3,97,23,3,14,4,3.2,2,6,2,2,44,2,3
211,45,2,11,4,22,45,1,21,1,3.0,2,1,2,2,6,5,4
212,69,2,20,2,92,41,1,13,1,4.2,2,1,2,2,45,4,4
213,67,2,8,1,84,46,1,3,1,4.2,2,2,2,2,7,4,1
214,30,2,8,1,93,28,1,16,1,4.4,2,6,2,2,11,4,3
215,24,2,11,4,50,11,1,3,3,4.2,2,4,2,2,41,2,3
216,62,2,16,1,64,30,3,15,2,2.8,2,1,2,2,24,5,2
217,43,2,19,2,61,21,1,25,2,3.7,2,3,2,2,21,6,7
218,35,2,23,1,48,36,2,18,4,3.5,2,4,2,2,24,1,1
219,28,2,25,2,45,5,3,12,2,2.9,2,6,2,2,8,3,6
220,32,2,2,1,88,28,2,6,2,3.0,2,3,2,2,12,2,4
221,39,2,21,3,57,3,3,10,2,3.7,2,2,2,2,48,4,4
222,28,2,9,1,68,33,4,12,3,4.4,2,6,2,2,6,1,6
223,47,2,7,1,94,32,4,8,2,4.5,2,1,2,2,14,5,4
224,20,2,14,2,41,50,2,22,2,4.8,2,3,2,2,34,5,1
225,63,2,22,2,83,41,3,1,3,2.9,2,3,2,2,12,2,3
226,25,2,11,4,22,4,2,14,2,3.2,2,4,2,2,11,1,1
227,29,2,18,3,74,43,1,23,2,3.3,2,3,2,2,5,5,5
228,50,2,12,2,90,39,2,22,4,4.2,2,5,2,2,25,6,4
229,18,2,22,2,79,29,2,24,2,2.9,2,6,2,2,11,3,1
230,70,2,15,3,28,35,3,20,2,4.6,2,4,2,2,27,5,3
231,66,2,16,1,88,44,1,14,1,4.1,2,5,2,2,43,3,1
232,28,2,3,2,26,42,2,3,2,3.1,2,1,2,2,18,4,3
233,54,2,13,1,27,11,1,18,4,4.2,2,2,2,2,32,1,2
234,19,2,24,2,83,3,4,25,1,4.5,2,4,2,2,27,1,3
235,20,2,7,1,39,41,3,20,3,3.7,2,4,2,2,24,3,7
236,43,2,23,1,89,30,2,6,4,3.7,2,3,2,2,31,4,6
237,38,2,5,4,68,34,1,9,4,3.4,2,4,2,2,39,5,4
238,50,2,6,2,90,15,2,1,3,3.0,2,6,2,2,36,4,4
239,64,2,20,2,34,35,2,16,1,4.2,2,3,2,2,5,2,1
240,49,2,14,2,51,45,1,25,3,2.9,2,2,2,2,47,3,2
241,47,2,24,2,45,26,4,22,4,3.5,2,3,2,2,29,1,4
242,36,2,10,2,88,8,2,16,4,4.1,2,3,2,2,43,6,2
243,55,2,5,4,85,32,1,8,3,4.3,2,6,2,2,40,4,3
244,25,2,13,1,100,17,2,14,4,2.8,2,1,2,2,4,4,5
245,53,2,2,1,42,37,3,10,2,4.9,2,1,2,2,39,5,7
246,49,2,15,3,53,39,1,5,3,3.3,2,4,2,2,45,6,4
247,35,2,23,1,86,28,4,1,2,3.2,2,2,2,2,20,6,2
248,29,2,24,2,66,26,4,4,2,4.4,2,5,2,2,14,4,7
249,47,2,2,1,100,38,2,3,4,4.8,2,2,2,2,33,5,7
250,53,2,8,1,47,2,3,21,1,4.2,2,5,2,2,18,3,1
251,33,2,20,2,25,24,1,2,1,4.0,2,2,2,2,9,1,7
252,21,2,8,1,51,50,4,7,4,2.5,2,5,2,2,34,5,1
253,32,2,19,2,41,8,2,23,3,3.9,2,3,2,2,33,6,4
254,52,2,4,3,73,36,1,6,4,4.9,2,1,2,2,15,1,2
255,67,2,23,1,42,14,2,24,4,3.5,2,6,2,2,4,5,2
256,43,2,16,1,20,20,2,5,2,4.2,2,3,2,2,25,4,1
257,58,2,13,1,30,41,4,23,2,4.7,2,2,2,2,20,3,3
258,20,2,8,1,53,48,2,19,3,4.5,2,2,2,2,5,3,6
259,61,2,7,1,74,1,3,11,2,2.8,2,2,2,2,16,2,6
260,32,2,12,2,57,18,2,7,1,2.9,2,5,2,2,13,4,1
261,38,2,9,1,57,26,3,19,4,3.2,2,1,2,2,11,3,3
262,21,2,12,2,77,5,1,12,4,4.9,2,5,2,2,21,3,1
263,37,2,14,2,40,11,2,21,3,3.7,2,4,2,2,6,4,1
264,27,2,19,2,46,15,2,18,3,4.3,2,6,2,2,29,6,5
265,36,2,14,2,78,6,3,5,1,3.9,2,6,2,2,15,2,1
266,32,2,1,1,59,22,2,8,2,3.2,2,1,2,2,17,1,2
267,51,2,13,1,75,18,1,24,3,3.1,2,2,2,2,32,3,7
268,64,2,24,2,54,20,2,14,2,3.9,2,1,2,2,42,6,1
269,68,2,18,3,42,10,2,5,2,2.6,2,6,2,2,21,2,5
270,68,2,3,2,44,10,2,5,4,3.3,2,4,2,2,9,2,2
271,33,2,12,2,52,34,4,15,1,4.6,2,3,2,2,16,1,1
272,65,2,23,1,69,20,4,25,3,4.6,2,2,2,2,42,3,4
273,48,2,13,1,26,37,2,1,3,4.4,2,1,2,2,37,4,2
274,69,2,5,4,33,34,3,20,2,4.2,2,2,2,2,32,4,6
275,59,2,13,1,32,20,2,10,2,3.0,2,2,2,2,28,2,2
276,48,2,1,1,85,46,4,11,4,4.0,2,2,2,2,13,3,7
277,25,2,20,2,30,41,4,22,1,3.5,2,2,2,2,11,1,4
278,29,2,17,2,29,10,2,9,4,3.0,2,6,2,2,36,1,2
279,57,2,24,2,95,11,2,15,2,3.7,2,2,2,2,23,4,1
280,23,2,21,3,69,4,1,22,3,4.0,2,5,2,2,37,1,5
281,45,2,15,3,69,26,3,6,1,4.2,2,1,2,2,21,2,2
282,38,2,2,1,61,36,4,5,2,2.5,2,5,2,2,22,4,2
283,21,2,20,2,94,23,2,21,3,3.0,2,1,2,2,9,2,5
284,32,2,24,2,30,26,3,13,1,3.2,2,4,2,2,16,6,1
285,63,2,20,2,45,35,2,19,3,3.5,2,5,2,2,4,5,6
286,29,2,8,1,39,17,4,25,3,4.8,2,2,2,2,3,4,2
287,27,2,13,1,51,27,1,8,3,2.6,2,6,2,2,6,4,1
288,56,2,16,1,37,8,1,3,2,3.4,2,1,2,2,18,6,4
289,30,2,25,2,62,33,2,11,4,3.7,2,1,2,2,34,6,2
290,49,2,5,4,85,32,2,25,1,4.5,2,1,2,2,26,3,5
291,58,2,25,2,33,6,2,10,4,3.7,2,5,2,2,50,5,7
292,57,2,6,2,26,8,4,23,1,3.3,2,4,2,2,40,1,5
293,60,2,18,3,99,44,2,9,2,4.7,2,3,2,2,24,2,6
294,69,2,8,1,39,7,2,24,2,2.7,2,2,2,2,33,5,1
295,70,2,20,2,20,30,2,7,2,4.6,2,6,2,2,19,3,3
296,53,2,23,1,42,48,2,10,4,2.7,2,6,2,2,24,3,6
297,25,2,15,3,74,14,3,11,2,4.8,2,1,2,2,19,3,7
298,48,2,18,3,26,8,4,18,3,4.4,2,5,2,2,4,3,2
299,69,2,25,2,53,20,2,11,4,4.0,2,5,2,2,11,6,3
300,25,2,21,3,80,38,2,13,3,3.2,2,4,2,2,28,5,4
301,29,2,9,1,98,15,2,21,2,4.4,2,6,2,2,24,5,7
302,46,2,20,2,95,38,2,9,2,3.8,2,5,2,2,25,3,3
303,37,2,24,2,44,8,1,14,3,3.6,2,2,2,2,27,1,3
304,20,2,15,3,60,37,2,22,3,3.3,2,4,2,2,49,6,7
305,40,2,6,2,84,37,2,9,4,3.4,2,4,2,2,45,3,2
306,60,2,24,2,59,44,2,21,1,3.5,2,1,2,2,26,5,1
307,26,2,11,4,49,34,3,24,3,3.6,2,2,2,2,4,2,1
308,29,2,7,1,32,9,2,15,4,3.2,2,3,2,2,3,3,3
309,66,2,8,1,29,20,2,1,1,3.7,2,5,2,2,45,6,2
310,66,2,6,2,22,23,2,25,2,4.5,2,5,2,2,21,2,4
311,56,2,14,2,85,26,2,5,4,4.6,2,5,2,2,50,2,4
312,69,2,12,2,52,39,1,20,4,4.1,2,6,2,2,19,1,5
313,38,2,14,2,89,21,1,9,2,3.4,2,4,2,2,6,5,1
314,42,2,6,2,77,45,2,17,2,3.7,2,2,2,2,50,3,3
315,30,2,14,2,24,30,2,18,3,3.3,2,6,2,2,17,4,3
316,66,2,13,1,24,49,4,15,2,4.5,2,2,2,2,24,4,1
317,36,2,8,1,22,5,2,5,1,3.3,2,3,2,2,46,6,5
318,58,2,24,2,82,48,1,21,1,4.3,2,5,2,2,42,2,3
319,45,2,1,1,67,41,2,1,4,2.5,2,5,2,2,10,2,1
320,47,2,19,2,74,19,4,24,2,2.6,2,5,2,2,1,2,3
321,66,2,13,1,72,16,1,24,3,4.9,2,5,2,2,28,4,6
322,41,2,21,3,36,45,1,15,3,4.7,2,3,2,2,48,4,6
323,41,2,2,1,95,42,3,6,4,3.0,2,5,2,2,47,3,5
324,66,2,10,2,78,42,2,15,4,3.5,2,4,2,2,29,5,2
325,37,2,17,2,82,50,2,14,3,4.8,2,5,2,2,37,6,6
326,70,2,14,2,70,45,2,5,4,4.3,2,3,2,2,38,4,1
327,62,2,16,1,41,30,2,24,1,3.2,2,6,2,2,48,1,7
328,61,2,5,4,42,15,2,21,3,3.1,2,3,2,2,36,5,7
329,48,2,5,4,50,9,2,25,1,2.8,2,3,2,2,9,3,7
330,70,2,22,2,31,28,3,24,3,2.9,2,1,2,2,34,1,5
331,46,2,24,2,51,34,2,1,4,3.7,2,2,2,2,43,6,2
332,31,2,17,2,98,9,1,1,1,3.3,2,6,2,2,46,5,6
333,19,2,17,2,86,32,2,13,4,2.8,2,1,2,2,5,3,5
334,39,2,24,2,64,2,2,21,4,4.5,2,5,2,2,15,1,2
335,41,2,3,2,46,16,2,11,1,2.6,2,4,2,2,30,3,1
336,20,2,24,2,85,37,1,13,2,3.7,2,5,2,2,44,6,3
337,36,2,9,1,81,39,3,15,1,4.4,2,2,2,2,16,5,1
338,32,2,24,2,59,31,2,6,4,4.3,2,1,2,2,16,1,1
339,69,2,10,2,79,21,2,20,4,3.5,2,2,2,2,16,2,7
340,40,2,19,2,33,38,2,21,2,3.8,2,1,2,2,21,3,3
341,40,2,19,2,47,30,1,3,3,3.5,2,2,2,2,39,6,3
342,20,2,9,1,20,44,3,3,3,4.6,2,6,2,2,40,4,2
343,64,2,5,4,36,17,2,14,2,2.6,2,4,2,2,48,3,3
344,27,2,15,3,39,27,2,18,3,4.4,2,4,2,2,26,6,5
345,24,2,20,2,71,46,2,5,4,4.0,2,5,2,2,46,4,5
346,48,2,18,3,59,50,3,14,4,4.4,2,4,2,2,27,1,1
347,49,2,12,2,50,31,1,23,2,4.7,2,4,2,2,5,2,7
348,36,2,15,3,41,37,1,19,1,3.9,2,6,2,2,43,5,4
